2025-11-12 18:47:42 [INFO] 🌦️ Hourly weather fetch script started (IST).
2025-11-13 02:20:43 [INFO] Fetched data for Bengaluru at 2025-11-13 07:50:43.576572+05:30 (IST).
2025-11-13 02:20:43 [INFO] Fetched data for Kolkata at 2025-11-13 07:50:43.578324+05:30 (IST).
2025-11-13 02:20:43 [INFO] Fetched data for Delhi at 2025-11-13 07:50:43.590156+05:30 (IST).
2025-11-13 02:20:44 [INFO] Fetched data for Lucknow at 2025-11-13 07:50:44.452790+05:30 (IST).
2025-11-13 02:20:44 [INFO] Fetched data for Patna at 2025-11-13 07:50:44.456342+05:30 (IST).
2025-11-13 02:20:44 [INFO] Fetched data for Jaipur at 2025-11-13 07:50:44.475134+05:30 (IST).
2025-11-13 02:20:44 [INFO] Fetched data for Gandhinagar at 2025-11-13 07:50:44.481601+05:30 (IST).
2025-11-13 02:20:44 [INFO] Fetched data for Chandigarh at 2025-11-13 07:50:44.485444+05:30 (IST).
2025-11-13 02:20:44 [INFO] Fetched data for Bhopal at 2025-11-13 07:50:44.495050+05:30 (IST).
2025-11-13 02:20:45 [INFO] Fetched data for Thiruvananthapuram at 2025-11-13 07:50:45.332679+05:30 (IST).
2025-11-13 02:20:45 [INFO] Fetched data for Bhubaneswar at 2025-11-13 07:50:45.352994+05:30 (IST).
2025-11-13 02:20:45 [INFO] Fetched data for Agartala at 2025-11-13 07:50:45.363891+05:30 (IST).
2025-11-13 02:20:45 [INFO] Fetched data for Imphal at 2025-11-13 07:50:45.377345+05:30 (IST).
2025-11-13 02:20:45 [INFO] Fetched data for Dispur at 2025-11-13 07:50:45.379650+05:30 (IST).
2025-11-13 02:20:45 [INFO] Fetched data for Aizawl at 2025-11-13 07:50:45.388235+05:30 (IST).
2025-11-13 02:20:46 [INFO] Fetched data for Shillong at 2025-11-13 07:50:46.213857+05:30 (IST).
2025-11-13 02:20:46 [INFO] Fetched data for Gangtok at 2025-11-13 07:50:46.243386+05:30 (IST).
2025-11-13 02:20:46 [INFO] Fetched data for Kohima at 2025-11-13 07:50:46.256448+05:30 (IST).
2025-11-13 02:20:46 [INFO] Fetched data for Dehradun at 2025-11-13 07:50:46.259079+05:30 (IST).
2025-11-13 02:20:46 [INFO] Fetched data for Raipur at 2025-11-13 07:50:46.268293+05:30 (IST).
2025-11-13 02:20:46 [INFO] Fetched data for Itanagar at 2025-11-13 07:50:46.277786+05:30 (IST).
2025-11-13 02:20:47 [INFO] Fetched data for Ranchi at 2025-11-13 07:50:47.093237+05:30 (IST).
2025-11-13 02:20:47 [INFO] Fetched data for Panaji at 2025-11-13 07:50:47.121197+05:30 (IST).
2025-11-13 02:20:47 [INFO] Fetched data for Port Blair at 2025-11-13 07:50:47.139601+05:30 (IST).
2025-11-13 02:20:47 [INFO] Fetched data for Puducherry at 2025-11-13 07:50:47.174638+05:30 (IST).
2025-11-13 02:20:47 [INFO] Fetched data for Srinagar at 2025-11-13 07:50:47.175872+05:30 (IST).
2025-11-13 02:20:47 [INFO] Fetched data for Kavaratti at 2025-11-13 07:50:47.185854+05:30 (IST).
2025-11-13 02:20:47 [INFO] Fetched data for Leh at 2025-11-13 07:50:47.973094+05:30 (IST).
2025-11-13 02:20:50 [INFO] Inserted 31 records successfully at 2025-11-13 07:50:50.437077+05:30 (IST).
2025-11-13 02:20:50 [INFO] Script completed successfully (IST).
2025-11-13 03:34:33 [INFO] 🌦️ Hourly weather fetch script started (IST).
2025-11-13 03:34:34 [INFO] Fetched data for Bengaluru at 2025-11-13 09:04:34.139139+05:30 (IST).
2025-11-13 03:34:34 [INFO] Fetched data for Chennai at 2025-11-13 09:04:34.150862+05:30 (IST).
2025-11-13 03:34:34 [INFO] Fetched data for Mumbai at 2025-11-13 09:04:34.154356+05:30 (IST).
2025-11-13 03:34:34 [INFO] Fetched data for Kolkata at 2025-11-13 09:04:34.157021+05:30 (IST).
2025-11-13 03:34:34 [INFO] Fetched data for Hyderabad at 2025-11-13 09:04:34.160157+05:30 (IST).
2025-11-13 03:34:34 [INFO] Fetched data for Delhi at 2025-11-13 09:04:34.162225+05:30 (IST).
2025-11-13 03:34:34 [INFO] Fetched data for Lucknow at 2025-11-13 09:04:34.919788+05:30 (IST).
2025-11-13 03:34:34 [INFO] Fetched data for Patna at 2025-11-13 09:04:34.958208+05:30 (IST).
2025-11-13 03:34:34 [INFO] Fetched data for Chandigarh at 2025-11-13 09:04:34.961446+05:30 (IST).
2025-11-13 03:34:34 [INFO] Fetched data for Jaipur at 2025-11-13 09:04:34.963607+05:30 (IST).
